Id,Label,timeset,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,weighted degree,pageranks,modularity_class,LR_quintile,leaning,audience_mean_lr,audience_mean_antielite,audience_mean_eu,audience_mean_nationalism
67,midilibre.fr,,8,10,18,4,0.473958,0.521978,0.002177,49,28,77,0.00891,0,2,centre,6.487168424731103,7.265673343543496,4.912449269508767,5.694610789637116
68,investigaction.net,,0,1,1,6,0.301639,0.321739,0.0,0,8,8,0.002948,9,0,left,2.0257631482963605,9.138605442330842,2.4680352337371105,3.605433039543572
69,egaliteetreconciliation.fr,,0,30,30,4,0.556886,0.642473,0.0,0,30,30,0.002948,5,4,right,8.678954208899011,9.032407189652702,3.2267190601536404,8.678410368992028
70,euronews.com,,11,6,17,5,0.42723,0.474725,0.009585,30,6,36,0.007568,9,2,centre,6.749777203863903,6.53904692114828,6.4172291762568845,4.196305612932112
71,marianne.net,,9,15,24,4,0.484043,0.547619,0.001482,28,52,80,0.004278,1,1,centre-left,5.48742314382164,7.784554147648163,4.416076763532919,5.3472684660143
72,francesoir.fr,,3,9,12,3,0.5,0.532967,0.004847,8,16,24,0.003556,0,1,centre-left,5.971277667782915,7.476591362999823,4.917017728404775,5.168543600152857
73,reinformation.tv,,1,15,16,4,0.491979,0.552536,0.000127,1,15,16,0.003032,5,4,right,9.908523511658544,8.524431548801287,2.9110476755405457,8.78948585796079
74,lepoint.fr,,22,18,40,4,0.50838,0.575092,0.00775,56,89,145,0.010368,0,3,centre-right,7.208345103991364,7.184968961761138,5.031265130684394,6.332899795753132
75,alternatives-economiques.fr,,4,0,4,0,0.0,0.0,0.0,14,0,14,0.005063,1,0,left,3.5275703030259464,6.977019369297709,5.306756361748858,3.279897285952969
76,i24news.tv,,3,0,3,0,0.0,0.0,0.0,10,0,10,0.003214,5,4,right,8.705839541610747,7.957142817730575,4.104213428211328,8.263250207051245
77,dreuz.info,,2,15,17,3,0.522989,0.569597,0.003208,7,31,38,0.003574,8,4,right,9.448364963573203,8.66054393035901,3.2686641530313776,9.680070993883904
78,positivr.fr,,2,17,19,4,0.502762,0.567766,0.000311,2,226,228,0.003161,0,0,left,5.071781882077626,6.730498660753756,5.61358795219423,3.886127271187757
79,sudradio.fr,,6,0,6,0,0.0,0.0,0.0,18,0,18,0.004801,5,3,centre-right,6.942264206084456,7.088351537546369,4.969536791981979,6.178697948617433
